date,platform,campaign,search_term,matched_keyword,impressions,clicks,spend,conversions,conversion_value
2026-07-31,Google Ads,Brand Search,connectwave,connectwave,333,20,44.91,3,600.0
2026-07-31,Google Ads,Business Fiber,best business fiber plans,business fiber internet,400,24,87.45,1,300.0
2026-07-31,Google Ads,SD-WAN,top sd-wan vendors,sd-wan provider,350,21,108.27,1,450.0
2026-07-31,Google Ads,UCaaS,ucaas pricing comparison,ucaas provider,333,20,87.79,1,400.0
2026-07-31,Google Ads,Managed Security,managed security services cost,managed security services,333,20,111.12,1,550.0
2026-07-31,Google Ads,Enterprise Voice,enterprise voice pricing,enterprise voice solutions,300,18,95.65,1,500.0
2026-08-01,Google Ads,Brand Search,connectwave,connectwave,283,17,34.81,2,400.0
2026-08-01,Google Ads,Business Fiber,best business fiber plans,business fiber internet,267,16,66.06,1,300.0
2026-08-01,Google Ads,SD-WAN,top sd-wan vendors,sd-wan provider,350,21,115.28,1,450.0
2026-08-01,Google Ads,UCaaS,ucaas pricing comparison,ucaas provider,317,19,90.36,1,400.0
2026-08-01,Google Ads,Managed Security,managed security services cost,managed security services,300,18,101.17,1,550.0
2026-08-01,Google Ads,Enterprise Voice,enterprise voice pricing,enterprise voice solutions,333,20,108.15,1,500.0
2026-08-02,Google Ads,Brand Search,connectwave,connectwave,283,17,35.31,2,400.0
2026-08-02,Google Ads,Business Fiber,best business fiber plans,business fiber internet,317,19,70.19,1,300.0
2026-08-02,Google Ads,SD-WAN,top sd-wan vendors,sd-wan provider,367,22,121.74,2,900.0
2026-08-02,Google Ads,UCaaS,ucaas pricing comparison,ucaas provider,383,23,113.46,1,400.0
2026-08-02,Google Ads,Managed Security,managed security services cost,managed security services,350,21,124.63,2,1100.0
2026-08-02,Google Ads,Enterprise Voice,enterprise voice pricing,enterprise voice solutions,350,21,118.3,2,1000.0
2026-08-03,Google Ads,Brand Search,connectwave,connectwave,350,21,44.55,3,600.0
2026-08-03,Google Ads,Business Fiber,best business fiber plans,business fiber internet,400,24,89.12,2,600.0
